# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
move,-0.1040803780930375,-1.2000084,-4.3499146,1464497594998,,,50
animation,,,,1464497595034,,,36
attack,,,,1464497595034,,,0
serverInfo,,,,1464497595034,0.551434467688193,0.5029328867531992,0
move,0.41999998688697815,2.2500076,0.2999878,1464497595048,,,14
move,0.33319999363422426,3.9000092,3.8999634,1464497595098,,,50
move,0.24813599859093927,5.4000206,18.00003,1464497595148,,,50
animation,,,,1464497595163,,,15
attack,,,,1464497595163,,,0
serverInfo,,,,1464497595163,0.8344971627951272,0.9852268359028009,0
move,0.1647732818260721,1.2000122,12.600098,1464497595198,,,35
move,0.08307781780646906,0.45000458,1.3499451,1464497595298,,,100
move,0.0,0.15000153,0.0,1464497595298,,,0
move,-0.07840000152587834,0.6000061,-6.600006,1464497595348,,,50
animation,,,,1464497595363,,,15
attack,,,,1464497595363,,,0
serverInfo,,,,1464497595363,0.7919571113685381,1.381755119522451,0
move,-0.15523200451660557,2.1000214,4.0498657,1464497595399,,,36
move,-0.015555072702198913,0.7500076,1.6499329,1464497595448,,,49
move,0.0,-0.30000305,-16.649963,1464497595498,,,50
move,0.41999998688697815,-4.3500443,-31.350037,1464497595548,,,50
animation,,,,1464497595565,,,17
attack,,,,1464497595565,,,0
serverInfo,,,,1464497595565,0.9129748878421358,2.009369047743802,0
move,0.33319999363422426,-0.15000153,-9.600037,1464497595598,,,33
move,0.24813599859093927,0.45000458,3.599884,1464497595648,,,50
move,0.1647732818260721,0.0,2.0999146,1464497595698,,,50
animation,,,,1464497595734,,,36
attack,,,,1464497595734,,,0
serverInfo,,,,1464497595734,0.8047345821605274,2.5394717724274445,0
move,0.08307781780646906,0.45000458,5.099884,1464497595748,,,14
move,0.0,0.90000916,7.0498047,1464497595798,,,50
move,-0.07840000152587834,-0.15000153,11.400055,1464497595898,,,100
move,-0.15523200451660557,-1.3500137,14.9999695,1464497595898,,,0
animation,,,,1464497595965,,,67
animation,,,,1464497595965,,,0
animation,,,,1464497595965,,,0
move,-0.23052736891295922,-0.6000061,0.1499939,1464497595998,,,33
move,-0.30431682745754074,-3.7500153,2.5498962,1464497595999,,,1
move,-0.37663049823865435,-12.299992,4.649811,1464497596048,,,49
move,-0.44749789698342113,-17.09999,5.099823,1464497596098,,,50
animation,,,,1464497596142,,,44
attack,,,,1464497596142,,,0
serverInfo,,,,1464497596142,0.9386683827063768,2.604475964891332,0
move,-0.5169479491049742,-11.549995,1.0499573,1464497596149,,,7
move,-0.13963453200464926,-1.4999962,0.1499939,1464497596198,,,49
move,0.41999998688697815,-0.14999962,-3.899994,1464497596248,,,50
move,0.33319999363422426,-1.4999962,-11.699982,1464497596299,,,51
animation,,,,1464497596337,,,38
attack,,,,1464497596337,,,0
serverInfo,,,,1464497596337,0.9876804814661341,2.1603377275786824,0
move,0.24813599859093927,2.5499935,-0.1499939,1464497596348,,,11
move,0.1647732818260721,3.8999977,-0.5999756,1464497596398,,,50
move,0.08307781780646906,2.8499947,0.4499817,1464497596448,,,50
animation,,,,1464497596469,,,21
attack,,,,1464497596469,,,0
serverInfo,,,,1464497596469,0.9757529847256836,2.2450247657018565,0
move,0.0,3.2999935,2.249939,1464497596499,,,30
move,-0.07840000152587834,6.5999928,4.349823,1464497596548,,,49
move,-0.15523200451660557,3.9000092,3.8998413,1464497596598,,,50
move,-0.23052736891296632,2.250023,4.349823,1464497596648,,,50
animation,,,,1464497596693,,,45
attack,,,,1464497596693,,,0
serverInfo,,,,1464497596693,0.8298395855868048,2.0527325370245326,0
move,-0.30431682745754074,1.0500107,0.8999634,1464497596699,,,6
move,-0.37663049823865435,5.8500023,0.8999634,1464497596798,,,99
move,-0.1040803780930375,2.700016,4.1999207,1464497596798,,,0
move,0.41999998688697815,0.30000305,17.399963,1464497596848,,,50
animation,,,,1464497596891,,,43
attack,,,,1464497596892,,,1
serverInfo,,,,1464497596892,0.7429165411692963,1.650973648099403,0
move,0.33319999363422426,-0.45000458,5.399994,1464497596898,,,6
move,0.24813599859093927,-0.30000305,0.5999756,1464497596948,,,50
move,0.1647732818260721,-1.5000114,1.1999512,1464497596998,,,50
move,0.08307781780646906,-2.4000092,0.5999756,1464497597048,,,50
animation,,,,1464497597069,,,21
attack,,,,1464497597069,,,0
serverInfo,,,,1464497597069,0.7975303851454223,1.6814276148273406,0
move,0.0,-2.4000053,0.7499695,1464497597098,,,29
move,-0.07840000152587834,-0.6000061,0.7499695,1464497597198,,,100
move,-0.15523200451660557,0.45000458,0.8999939,1464497597198,,,0
animation,,,,1464497597270,,,72
attack,,,,1464497597270,,,0
serverInfo,,,,1464497597270,0.8648816917791879,1.4887639016795449,0
move,-0.23052736891296632,2.850029,7.4999084,1464497597299,,,29
move,-0.30431682745754074,3.6000214,6.599884,1464497597299,,,0
move,-0.37663049823865435,0.6000061,8.399902,1464497597398,,,99
move,-0.1040803780930375,-2.250023,13.950073,1464497597398,,,0
animation,,,,1464497597436,,,38
attack,,,,1464497597436,,,0
serverInfo,,,,1464497597436,0.5341924483310074,0.9275633551548121,0
move,0.41999998688697815,-1.0500107,13.200134,1464497597448,,,12
move,0.33319999363422426,0.6000061,11.700012,1464497597498,,,50
move,0.24813599859093927,1.0500107,16.950043,1464497597548,,,50
move,0.1647732818260721,1.6500168,14.850006,1464497597598,,,50
animation,,,,1464497597676,,,78
attack,,,,1464497597676,,,0
serverInfo,,,,1464497597676,0.7850838851976745,0.9845792809767224,0
move,0.08307781780646906,-0.30000305,0.1499939,1464497597698,,,22
move,0.0,0.90000534,0.5999756,1464497597698,,,0
move,-0.07840000152587834,3.4500084,14.399979,1464497597798,,,100
move,-0.15523200451660557,2.7000198,16.950012,1464497597798,,,0
animation,,,,1464497597814,,,16
attack,,,,1464497597814,,,0
serverInfo,,,,1464497597814,0.9304556489941241,0.9398043416860951,0
move,-0.015555072702198913,1.2000122,4.6499786,1464497597849,,,35
move,0.0,1.2000084,4.3499756,1464497597898,,,49
move,0.41999998688697815,0.0,13.950043,1464497597948,,,50
move,0.33319999363422426,0.6000061,9.300018,1464497597998,,,50
animation,,,,1464497598011,,,13
attack,,,,1464497598011,,,0
serverInfo,,,,1464497598011,0.9474796183566805,1.7742749181452195,0
move,0.24813599859093927,1.9500198,5.9999847,1464497598048,,,37
