# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.10781385070555416,0.0,-1.0499973,4.0500107,,,,,1464498785159,50
animation,,,,,,,,,1464498785205,46
move,0.13558804501670352,0.0,-0.14999962,0.0,,,,,1464498785209,4
move,0.15314815578682328,0.0,-0.7499981,1.2000122,,,,,1464498785309,100
move,0.17029259650360018,0.0,-1.3499975,3.9000092,,,,,1464498785309,0
animation,,,,,,,,,1464498785345,36
attack,,,,,,,,,1464498785345,0
serverInfo,,,,,0.9026386274342132,2.5625938450313397,132,19.845207382417147,1464498785345,0
move,0.6662353952080053,0.376375000000003,-0.29999924,4.500023,,,,,1464498785360,15
jump,,,,,,,,,1464498785360,0
move,0.3451106450304451,0.29044750565290656,-0.14999962,4.5000305,,,,,1464498785459,99
move,0.29550515248647,0.20623855955381742,0.0,0.30000305,,,,,1464498785460,1
animation,,,,,,,,,1464498785498,38
move,0.2494133308731108,0.12371379077054456,2.9999952,-2.7000046,,,,,1464498785510,12
move,0.2091873972547802,0.04283951578890566,4.3499994,4.800041,,,,,1464498785610,100
move,0.17424636469512222,-0.03641727523564953,0.14999962,4.3500214,,,,,1464498785610,0
move,-0.0030909587943597217,-0.11408893195141445,0.15000057,0.90000916,,,,,1464498785660,50
animation,,,,,,,,,1464498785696,36
move,-0.016371658562619018,-0.190207157014342,-0.44999886,0.90000916,,,,,1464498785709,13
move,0.008698324318473283,-0.26480301902784475,-1.4999971,2.1000214,,,,,1464498785759,50
move,0.03231025761799344,-0.33790696522388686,-0.29999924,3.3000183,,,,,1464498785860,101
move,0.05423074924678417,-0.09619102331303964,-0.44999886,1.9500046,,,,,1464498785860,0
animation,,,,,,,,,1464498785894,34
move,0.17412901019220328,0.0,-0.44999886,0.6000061,,,,,1464498785910,16
move,0.24291657252466337,0.29187499999999744,-0.5999985,1.0500107,,,,,1464498785960,50
jump,,,,,,,,,1464498785960,0
move,-0.015803841775152705,0.20763750404119463,-0.5999985,-5.9999924,,,,,1464498786010,50
move,0.008297295115468728,0.1250847563948625,-0.29999924,-4.3500137,,,,,1464498786059,49
animation,,,,,,,,,1464498786439,380
animation,,,,,,,,,1464498786439,0
animation,,,,,,,,,1464498786446,7
move,0.030103356134119963,0.044183062126890604,-0.89999866,-0.45000458,,,,,1464498786460,14
move,0.04964805552225471,-0.035100599798802534,-2.0999966,-1.0500107,,,,,1464498786460,0
move,0.06658437327490674,-0.11279858999819936,-0.5999994,-2.8500214,,,,,1464498786460,0
move,0.08148115829864366,-0.18894262187557587,1.0499992,-1.6500168,,,,,1464498786460,0
move,0.09494088122129085,-0.2635637745677357,0.29999924,-0.30000305,,,,,1464498786460,0
move,0.10856276876343429,-0.06837473632263169,0.5999985,4.500023,,,,,1464498786460,0
move,0.21134727795245567,0.0,0.14999962,1.2000046,,,,,1464498786460,0
move,0.22424375656467532,0.0,1.4999962,-2.550026,,,,,1464498786460,0
move,0.30507587878778963,0.3999999999999986,0.8999977,-4.3500137,,,,,1464498786510,50
jump,,,,,,,,,1464498786510,0
move,0.14360729805534334,0.31360000610351335,2.3999968,-13.349991,,,,,1464498786560,50
animation,,,,,,,,,1464498786621,61
attack,,,,,,,,,1464498786621,0
serverInfo,,,,,0.8449510641556977,2.898971107117272,135,19.94415636218588,1464498786621,0
move,0.10582534512859354,0.22892801043700928,6.899996,-7.800003,,,,,1464498786660,39
move,0.0702972022486108,0.14594945306885165,2.9999943,-6.0,,,,,1464498786660,0
move,0.03796659129604052,0.06463046526535265,0.0,0.0,,,,,1464498786760,100
animation,,,,,,,,,1464498786804,44
move,0.018766187210147223,-0.10822304759270196,-0.5999985,-2.4000168,,,,,1464498786810,6
move,0.02319051002260153,-0.16969768849719458,-3.89999,-2.550026,,,,,1464498786860,50
move,0.024150643811012174,-0.24470373948985724,-3.899994,-8.999985,,,,,1464498786910,50
animation,,,,,,,,,1464498786968,58
attack,,,,,,,,,1464498786968,0
serverInfo,,,,,0.7900821937070417,2.5529269757805166,135,19.95609658750748,1464498786968,0
move,0.024156629989107614,-0.3182096708932889,-0.14999962,-1.7999878,,,,,1464498787010,42
move,1.107336383536449,0.376375000000003,-0.75,-0.8999939,,,,,1464498787010,0
move,0.8324093615885033,0.29044750565290656,-1.4999962,-3.7499847,,,,,1464498787060,50
animation,,,,,,,,,1464498787145,85
move,0.530120929165534,0.20623855955381742,1.6499977,-11.250046,,,,,1464498787160,15
move,0.4727523849745694,0.12371379077055167,3.899994,-9.000015,,,,,1464498787160,0
move,0.4196684804957158,0.04283951578891276,0.5999985,-1.9499817,,,,,1464498787210,50
move,0.37142852699905404,-0.03641727523564953,0.5999985,0.1499939,,,,,1464498787260,50
animation,,,,,,,,,1464498787320,60
move,0.3271964234850486,-0.11408893195141445,1.4999962,-0.7499695,,,,,1464498787360,40
move,0.2868107568124856,-0.190207157014342,0.14999962,-0.30000305,,,,,1464498787360,0
move,0.24758580445740108,-0.26480301902784475,-1.0499973,-5.6999817,,,,,1464498787460,100
move,0.20758337539332672,-0.33790696522388686,2.0999947,-10.800018,,,,,1464498787460,0
move,0.16951056606174575,-0.4084648117147367,3.149994,-4.649994,,,,,1464498787560,100
move,0.2625476006089542,0.0,0.0,-0.74998474,,,,,1464498787610,50
move,-0.1978605684497836,0.0,-7.3499813,5.549942,,,,,1464498787760,150
move,-0.16001919187438318,0.0,-1.7999954,1.0499878,,,,,1464498787860,100
move,-0.17344147817031796,0.0,-0.14999962,0.1499939,,,,,1464498787860,0
move,-0.1807700473391236,0.0,0.0,0.0,,,,,1464498787960,100
move,-0.1847714465700676,0.0,0.0,0.0,,,,,1464498787960,0
move,-0.18695621080392755,0.0,-2.2499971,0.0,,,,,1464498788010,50
move,-0.18814909221416087,0.0,-4.6499977,0.0,,,,,1464498788060,50
move,-0.19272012386122128,0.0,-4.500002,-2.0999146,,,,,1464498788110,50
