# EVENT,Y_DELTA,PITCH,YAW,TIMESTAMP,offset
animation,,,,1464490206464,38
attack,,,,1464490206464,0
move,-0.23773703643503552,13.249975,336.19876,1464490206476,12
move,-0.2903647548960464,13.249975,336.19876,1464490206526,50
move,0.0,13.549974,337.9987,1464490206576,50
move,0.0,13.549974,337.9987,1464490206626,50
animation,,,,1464490206670,44
move,0.3763749999999959,14.299973,334.5488,1464490206676,6
move,0.29044750565290656,15.19997,332.89886,1464490206726,50
move,0.20623855955381032,14.599972,323.14883,1464490206776,50
move,0.12371379077055167,14.449972,310.69864,1464490206826,50
animation,,,,1464490206862,36
move,0.04283951578891276,17.149965,304.39883,1464490206876,14
move,-0.03641727523564953,18.799961,304.69882,1464490206926,50
move,-0.11408893195141445,19.09996,307.99872,1464490206976,50
move,-0.190207157014342,19.39996,312.6486,1464490207026,50
animation,,,,1464490207062,36
move,-0.26480301902785186,20.599957,320.2984,1464490207076,14
move,0.3216249999999974,21.349955,330.49854,1464490207126,50
move,0.23679250460862988,21.049955,341.1486,1464490207176,50
animation,,,,1464490207185,9
attack,,,,1464490207185,0
move,0.15365665750704238,20.749956,340.8486,1464490207227,42
move,0.07218352576178688,21.499954,339.64865,1464490207276,49
move,-0.007660144902530419,21.799953,339.64865,1464490207326,50
move,-0.085906943676477,21.349955,339.94864,1464490207376,50
move,-0.1625888079673672,21.199955,340.5486,1464490207426,50
animation,,,,1464490207432,6
move,-0.23773703643503552,21.349955,339.64865,1464490207476,44
move,-0.3113823017666846,21.949953,338.4487,1464490207526,50
move,-0.383554663196378,20.899956,329.5987,1464490207576,50
move,-0.02952577846990323,16.849966,311.8987,1464490207626,50
animation,,,,1464490207648,22
move,0.0,15.049971,302.74875,1464490207676,28
move,0.0,15.049971,303.34872,1464490207776,100
move,0.0,14.299972,304.2487,1464490207826,50
move,0.0,13.699972,304.2487,1464490207876,50
animation,,,,1464490207912,36
move,0.0,13.549973,304.54868,1464490207926,14
move,0.0,13.549973,304.54868,1464490207976,50
move,0.0,13.549973,305.59863,1464490208026,50
move,0.0,12.799974,309.9485,1464490208076,50
animation,,,,1464490208111,35
attack,,,,1464490208111,0
move,0.0,12.799974,310.09848,1464490208127,16
move,0.0,12.799974,310.24847,1464490208227,100
move,0.0,12.799974,310.24847,1464490208227,0
move,0.0,14.599973,310.24847,1464490208277,50
animation,,,,1464490208313,36
attack,,,,1464490208313,0
move,0.2763750000000016,22.399967,309.7985,1464490208327,14
move,0.19244750374555508,26.449959,308.89853,1464490208377,50
move,0.11019855581541549,25.99996,303.94858,1464490208427,50
move,0.029594585275091845,23.149967,286.99857,1464490208477,50
animation,,,,1464490208501,24
attack,,,,1464490208501,0
move,-0.04939730739181414,22.699968,279.64865,1464490208527,26
move,-0.12680936371204155,22.549969,279.64865,1464490208577,50
move,-0.20267318038237647,17.899977,274.69876,1464490208627,50
move,-0.22973579334983185,15.199984,270.49887,1464490208677,50
animation,,,,1464490208693,16
attack,,,,1464490208693,0
move,0.0,15.049984,271.24884,1464490208727,34
animation,,,,1464490208737,10
move,0.0,15.199984,271.39883,1464490208778,41
move,0.3216249999999974,15.199984,271.69882,1464490208827,49
move,0.23679250460862988,13.399984,270.64886,1464490208877,50
animation,,,,1464490208912,35
move,0.15365665750704238,12.499987,265.39908,1464490208927,15
move,0.07218352576178688,12.9499855,262.84912,1464490208977,50
move,-0.09356708857900742,13.549984,254.29936,1464490209077,100
animation,,,,1464490209112,35
attack,,,,1464490209112,0
move,-0.1625888079673672,18.199978,250.69946,1464490209127,15
move,-0.23773703643503552,19.399977,249.64948,1464490209177,50
move,-0.2903647548960464,19.249977,249.64948,1464490209227,50
move,0.0,18.499979,249.34949,1464490209277,50
animation,,,,1464490209313,36
attack,,,,1464490209313,0
move,0.4216250000000059,18.499979,248.4495,1464490209327,14
animation,,,,1464490209362,35
move,0.33479250651598136,18.34998,247.24951,1464490209377,15
move,0.2496966612454372,15.649986,238.99951,1464490209427,50
move,0.1663027312572467,14.299989,235.99953,1464490209477,50
animation,,,,1464490209498,21
move,0.08457667827818227,14.149989,235.69952,1464490209527,29
move,0.0,14.149989,235.69952,1464490209577,50
move,-0.07840000152587834,12.649992,228.79953,1464490209627,50
move,-0.15523200451660557,8.9,214.24947,1464490209677,50
animation,,,,1464490209697,20
move,-0.02336157125436955,8.450001,211.54948,1464490209778,81
move,0.4216250000000059,9.05,212.59946,1464490209827,49
move,0.33479250651598136,9.05,216.19943,1464490209877,50
animation,,,,1464490209913,36
move,0.2496966612454372,9.2,216.64943,1464490209927,14
move,0.1663027312572467,10.099999,216.64943,1464490209977,50
move,0.08457667827818227,11.899999,216.64943,1464490210027,50
move,0.0,16.549994,210.64944,1464490210077,50
move,-0.07840000152587834,17.74999,201.64943,1464490210127,50
animation,,,,1464490210200,73
move,-0.15523200451660557,19.399986,195.19943,1464490210227,27
move,-0.23052736891295922,20.449984,192.34947,1464490210228,1
move,-0.30431682745754074,19.999985,190.6995,1464490210277,49
move,-0.37663049823865435,19.849985,188.74951,1464490210327,50
move,-0.11188687664521524,19.399986,182.14948,1464490210377,50
animation,,,,1464490210413,36
move,0.0,18.649988,177.19951,1464490210428,15
move,0.0,16.699993,172.69952,1464490210477,49
move,-0.07840000152587834,13.250001,164.8995,1464490210527,50
move,-0.15523200451660557,11.900003,162.19957,1464490210627,100
move,-0.23052736891295922,11.900003,162.19957,1464490210627,0
move,-0.30431682745754074,11.900003,162.19957,1464490210727,100
move,-0.23152379758701613,11.750004,161.89958,1464490210727,0
move,0.0,12.050003,157.99959,1464490210777,50
move,0.0,12.200003,141.34955,1464490210827,50
animation,,,,1464490210853,26
move,0.0,12.050003,130.39954,1464490210878,25
animation,,,,1464490210913,35
move,0.0,12.050003,130.39954,1464490210928,15
move,0.0,11.600004,132.79951,1464490210978,50
move,0.0,11.300005,139.99954,1464490211028,50
animation,,,,1464490211039,11
attack,,,,1464490211039,0
move,0.0,12.800001,145.99951,1464490211078,39
move,0.0,13.1,146.4495,1464490211128,50
move,0.0,13.25,148.09949,1464490211178,50
move,0.0,14.449997,155.2995,1464490211228,50
animation,,,,1464490211249,21
attack,,,,1464490211249,0
move,0.0,20.89999,171.19957,1464490211278,29
move,0.2763750000000016,24.349983,182.1496,1464490211328,50
move,0.19244750374555508,24.649982,187.9996,1464490211378,50
animation,,,,1464490211414,36
attack,,,,1464490211414,0
move,0.11019855581541549,25.999979,197.44958,1464490211428,14
move,-0.019802722116722293,28.549973,212.74959,1464490211528,100
move,-0.12680936371204155,28.399973,227.29965,1464490211578,50
animation,,,,1464490211580,2
attack,,,,1464490211580,0
move,-0.20267318038237647,28.699972,234.64964,1464490211628,48
move,-0.22973579334983185,28.849972,238.39961,1464490211678,50
move,0.0,26.599977,240.79956,1464490211728,50
move,0.3216249999999974,22.999985,240.04959,1464490211778,50
animation,,,,1464490211797,19
move,0.23679250460862988,22.999985,244.54955,1464490211829,32
move,0.15365665750704238,23.449984,261.04953,1464490211878,49
move,0.07218352576178688,22.249987,276.6495,1464490211928,50
animation,,,,1464490211971,43
attack,,,,1464490211971,0
move,-0.09356708857900742,20.449991,267.6497,1464490212028,57
move,-0.1625888079673672,20.89999,263.2998,1464490212078,50
move,-0.23773703643503552,21.499989,261.49988,1464490212128,50
animation,,,,1464490212146,18
move,-0.2903647548960464,21.649988,268.0997,1464490212178,32
animation,,,,1464490212213,35
move,0.0,22.099987,273.94952,1464490212229,16
move,0.0,21.19999,281.14944,1464490212278,49
move,0.2763750000000016,16.999996,280.39948,1464490212328,50
animation,,,,1464490212357,29
move,0.19244750374555508,15.799998,280.39948,1464490212378,21
move,0.11019855581541549,15.649999,280.39948,1464490212428,50
move,-0.019802722116722293,15.799998,279.19952,1464490212529,101
animation,,,,1464490212616,87
move,-0.12680936371204155,16.249998,278.74954,1464490212629,13
move,-0.20267318038237647,16.249998,278.89954,1464490212629,0
move,-0.22973579334983185,18.199993,288.34952,1464490212679,50
move,0.0,18.949991,302.89963,1464490212729,50
animation,,,,1464490212753,24
move,0.46612500000000523,19.54999,306.4995,1464490212779,26
move,0.3784025073647541,19.54999,306.9495,1464490212829,50
move,0.2924344629090285,19.24999,299.59943,1464490212879,50
