# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
attack,,,,1464492714044,0
move,0.1647732818260721,0.74999905,3240.2998,1464492714048,4
move,0.08307781780646906,2.0999966,-0.5996094,1464492714048,0
move,0.0,4.0499897,-0.7495117,1464492714049,1
move,-0.07840000152587834,1.6499958,-0.44970703,1464492714049,0
move,-0.15523200451660557,0.5999985,-6.2995605,1464492714049,0
move,-0.23052736891296632,0.0,-0.89990234,1464492714049,0
move,-0.30431682745754074,1.0499973,-1.4992676,1464492714049,0
move,-0.37663049823865435,0.44999886,-0.14990234,1464492714049,0
move,-0.1040803780930375,0.0,-3240.0,1464492714099,50
animation,,,,1464492714129,30
attack,,,,1464492714129,0
move,0.41999998688697815,0.8999977,3238.8005,1464492714149,20
move,0.33319999363422426,0.0,-3240.0,1464492714199,50
move,0.24813599859093927,0.8999977,3240.0,1464492714249,50
animation,,,,1464492714271,22
attack,,,,1464492714271,0
move,0.1647732818260721,1.3499966,-1.1992188,1464492714299,28
move,0.08307781780646906,2.699995,-1.9492188,1464492714349,50
animation,,,,1464492714435,86
attack,,,,1464492714435,0
move,0.0,1.0499973,-1.9494629,1464492714449,14
move,-0.07840000152587834,0.7500019,-2.9995117,1464492714449,0
move,-0.15523200451660557,1.3500137,-1.6494141,1464492714499,50
move,-0.23052736891296632,0.45000458,-4.050049,1464492714549,50
move,-0.30431682745754074,-0.15000153,-10.949707,1464492714599,50
animation,,,,1464492714616,17
attack,,,,1464492714616,0
move,-0.37663049823865435,0.6000061,-5.849365,1464492714649,33
move,-0.1040803780930375,0.0,-3240.0,1464492714699,50
move,0.41999998688697815,-0.45000458,3233.4001,1464492714749,50
move,0.33319999363422426,-0.90000916,-4.7998047,1464492714799,50
animation,,,,1464492714838,39
attack,,,,1464492714838,0
move,0.24813599859093927,-0.15000153,-2.0996094,1464492714849,11
move,0.1647732818260721,0.30000305,-0.14990234,1464492714899,50
move,0.08307781780646906,0.15000153,1.5,1464492714949,50
animation,,,,1464492714962,13
attack,,,,1464492714962,0
move,0.0,1.0500107,4.0498047,1464492714999,37
animation,,,,1464492715009,10
move,-0.07840000152587834,0.15000153,4.800049,1464492715049,40
move,-0.15523200451660557,-0.7500038,19.649902,1464492715099,50
move,-0.23052736891296632,-2.10001,44.55005,1464492715149,50
animation,,,,1464492715184,35
move,-0.30431682745754074,-3.5999966,63.749756,1464492715199,15
move,-0.37663049823865435,-5.8500004,67.19995,1464492715249,50
move,-0.1040803780930375,-4.3499947,60.00049,1464492715299,50
animation,,,,1464492715320,21
animation,,,,1464492715320,0
move,0.41999998688697815,-2.8499956,53.85034,1464492715349,29
move,0.33319999363422426,-0.29999924,45.150146,1464492715399,50
animation,,,,1464492715410,11
move,0.24813599859093927,1.1999979,37.350098,1464492715449,39
move,0.1647732818260721,-0.5999994,13.199951,1464492715499,50
animation,,,,1464492715519,20
move,0.08307781780646906,2.8499975,-2.5488281,1464492715549,30
animation,,,,1464492715599,50
move,-0.07840000152587834,3.149994,-16.349854,1464492715649,50
move,-0.15523200451660557,1.949995,-20.099365,1464492715699,50
animation,,,,1464492715712,13
attack,,,,1464492715712,0
move,-0.23052736891296632,3.2999916,-4.800049,1464492715749,37
move,-0.30431682745754074,0.44999886,2.3999023,1464492715799,50
move,-0.37663049823865435,0.44999886,4.7995605,1464492715849,50
animation,,,,1464492715864,15
animation,,,,1464492715864,0
move,-0.1040803780930375,-0.7499981,1.3496094,1464492715899,35
animation,,,,1464492715913,14
move,0.41999998688697815,0.0,-3600.0,1464492715949,36
move,0.33319999363422426,0.0,3600.5996,1464492715999,50
move,0.24813599859093927,0.0,0.89990234,1464492716049,50
animation,,,,1464492716082,33
animation,,,,1464492716082,0
move,0.1647732818260721,0.8999977,4.499756,1464492716099,17
animation,,,,1464492716114,15
move,0.08307781780646906,0.0,19.649414,1464492716149,35
move,0.0,0.44999886,47.849854,1464492716199,50
move,-0.07840000152587834,-4.0499916,62.09961,1464492716249,50
animation,,,,1464492716286,37
move,-0.15523200451660557,-4.1999893,65.69995,1464492716299,13
move,-0.23052736891296632,-4.199991,60.150146,1464492716349,50
move,-0.30431682745754074,1.6499958,44.250977,1464492716399,50
move,-0.37663049823865435,3.4499912,16.500977,1464492716449,50
animation,,,,1464492716486,37
animation,,,,1464492716486,0
move,-0.1040803780930375,0.8999977,1.7993164,1464492716499,13
animation,,,,1464492716514,15
move,0.41999998688697815,0.44999886,1.6494141,1464492716549,35
move,0.33319999363422426,1.0499973,11.8515625,1464492716599,50
move,0.24813599859093927,-0.8999977,7.498047,1464492716649,50
animation,,,,1464492717023,374
animation,,,,1464492717023,0
animation,,,,1464492717023,0
animation,,,,1464492717023,0
animation,,,,1464492717023,0
animation,,,,1464492717023,0
animation,,,,1464492717023,0
attack,,,,1464492717023,0
move,0.1647732818260721,0.14999962,4.048828,1464492717049,26
move,0.08307781780646906,0.29999924,5.697754,1464492717049,0
move,-0.07840000152587834,1.4999962,7.796875,1464492717049,0
move,-0.15523200451660557,-0.5999985,1.3491211,1464492717049,0
move,-0.23052736891296632,0.5999985,0.89941406,1464492717049,0
move,-0.30431682745754074,0.5999985,1.6494141,1464492717049,0
move,-0.37663049823865435,0.0,0.14990234,1464492717049,0
move,-0.1040803780930375,1.0499973,1.6489258,1464492717099,50
move,0.41999998688697815,0.0,-3960.0,1464492717149,50
animation,,,,1464492717168,19
attack,,,,1464492717168,0
move,0.33319999363422426,0.0,0.0,1464492717199,31
move,0.24813599859093927,0.0,0.0,1464492717249,50
move,0.1647732818260721,0.0,0.0,1464492717299,50
move,0.08307781780646906,0.0,0.0,1464492717349,50
animation,,,,1464492717365,16
attack,,,,1464492717365,0
move,-0.07840000152587834,0.0,0.0,1464492717449,84
move,-0.15523200451660557,0.0,0.0,1464492717499,50
move,-0.23052736891296632,0.0,0.0,1464492717549,50
animation,,,,1464492717598,49
attack,,,,1464492717598,0
move,-0.30431682745754074,0.0,0.0,1464492717599,1
move,-0.37663049823865435,-0.8999977,3961.0498,1464492717649,50
move,-0.1040803780930375,-0.14999962,1.7993164,1464492717699,50
move,0.41999998688697815,-0.29999924,12.901367,1464492717749,50
animation,,,,1464492717771,22
animation,,,,1464492717771,0
